text	label
 Age and experience mellowed him over the years .	metaphorical
 These apples need to mellow a bit more .	literal
 The wax melted in the sun .	literal
 The sun melted the ice .	literal
 Hundreds of actors were melting into the scene .	metaphorical
 her resistance melted under his charm .	metaphorical
 The furniture molded in the old house .	literal
 She molded the rice balls carefully .	literal
 The dress molds her beautiful figure .	metaphorical
 They mounted the aerator on a floating .	literal
 mount slides for macroscopic analysis .	literal
 mount a campaign against pornography .	metaphorical
 mount a theater production .	metaphorical
 She nags her husband all day long .	literal
 nagging concerns and doubts .	metaphorical
 negociate securities .	literal
 The hiker negociated the high mountain pass .	metaphorical
 The parties negociated all night .	literal
 The treaty neutralized the small republic .	metaphorical
 Her optimism neutralizes his gloom .	metaphorical
 She neutralized the solution .	literal
 He nodded his approval .	literal
 The teacher nodded when the student gave the right answer .	literal
 The old man was nodding in his chair .	literal
 the flowers were nodding in the breeze .	metaphorical
 We painted the rooms yellow .	literal
 He painted his mistress many times .	literal
 Her violent feelings palpitated the young woman 's heart .	literal
 paste the sign on the wall .	literal
 He pasted his opponent .	metaphorical
 The new moon peeped through the tree tops .	metaphorical
 The cold pierced her bones .	metaphorical
 The scream pierced the night .	metaphorical
 The needle pierced her flesh .	literal
 pin the needle to the shirt .	literal
 The bugs pinged the lamp shade .	literal
 the bullet pinged when they struck the car .	literal
 I 'll ping my accountant -- April 15 is nearing .	metaphorical
 ping your machine in the office .	literal
 the stock market plunged .	metaphorical
 The professor plunged his students into the study of the Italian text .	metaphorical
 poison someone 's mind .	metaphorical
 She poisoned her husband .	literal
 Her husband poisoned her drink in order to kill her .	literal
 This mushrooms can poison .	literal
 The book portrays the actor as a selfish person .	metaphorical
 The father is portrayed as a good - looking man in this painting .	literal
 This poses an interesting question .	metaphorical
 We do n't know the woman who posed for Leonardo so often .	literal
 the salesman pounded the door knocker .	literal
 The locks pound the water of the canal .	metaphorical
 The prisoners are safely pounded .	metaphorical
 They poured water over the floor .	literal
 People were pouring out of the theater .	metaphorical
 We poured money into the education of our children .	metaphorical
 The crisis precipitated by Russia 's revolution .	metaphorical
 Our economy precipitated into complete ruin .	metaphorical
 The bridge broke and precipitated the train into the river below .	metaphorical
 preserve the peace in the family .	metaphorical
 preserve the forest and the lakes .	literal
 The nurse pricked my finger to get a small blood sample .	literal
 The needle pricked his skin .	literal
 The thought of her unhappiness pricked his conscience .	metaphorical
 The sudden fame puffed her ego .	metaphorical
 The critics puffed up this Broadway production .	metaphorical
 Her faced puffed up from the drugs .	literal
 He pumped bullets into the dummy .	metaphorical
 The athlete pumps weights in the gym .	literal
 She pumped the witnesses for information .	metaphorical
 He pushed the table into a corner .	literal
" "" Now push hard "" , said the doctor to the woman ."	literal
 The salesman is aggressively pushing the new computer model .	metaphorical
 She is pushing fifty .	metaphorical
 The liberal party pushed for reforms .	metaphorical
 The guy hanging around the school is pushing drugs .	metaphorical
 The crowd pushed forward .	literal
 The sun radiates heat .	literal
 She radiates happiness .	metaphorical
 The police raided the crack house .	literal
 The pirates raided the coastal villages regularly .	literal
 T. Boone Pickens raided many large companies .	literal
 Our babysitter raided our refrigerator .	metaphorical
 She could not recapture that feeling of happiness .	metaphorical
 The author recaptures an old idea here .	metaphorical
 The military forces managed to recapture the fort .	literal
 They tried to recapture the escaped prisoner .	literal
 The bell cracked and had to be recast .	literal
 She had to recast her image to please the electorate in her home state .	metaphorical
 Fame redounds to the heroes .	metaphorical
 Her efforts will redound to the general good .	metaphorical
 This action reflects his true beliefs .	metaphorical
 Sound is reflected well in this auditorium .	literal
 Drive carefully -- the wet road reflects .	literal
 her sunglasses reflected his image .	literal
 His lack of interest in the project reflects badly on him .	metaphorical
 The mess in his dorm room reflects on the student .	metaphorical
 reform a political system .	literal
 relax the tension on the rope .	literal
 A hot bath always relaxes me .	literal
 our new colleague relaxed when he saw that we were a friendly group .	literal
 The government relaxed the curfew after most of the rebels were caught .	metaphorical
 The rules relaxed after the new director arrived .	metaphorical
 One can never fully repair the suffering and losses of the Jews in the Third Reich .	metaphorical
 The doctors revived the comatose man .	literal
 A hot soup will revive me .	metaphorical
 Interest in ESP revived .	metaphorical
 He revived this style of opera .	metaphorical
 The curtain ripped from top to bottom .	literal
 The tornado ripped along the coast .	metaphorical
 The candidate ripped into his opponent mercilessly .	metaphorical
 this plant roots quickly .	literal
 The problem roots in her depression .	metaphorical
 the pig was rooting for truffles .	literal
 We rotate the lead soprano every night .	metaphorical
 Interns have to rotate for a few months .	metaphorical
 We rotate the crops so as to maximize the use of the soil .	metaphorical
 She wanted to ruffle his composure .	metaphorical
 This play is going to ruffle some people .	metaphorical
 The bird ruffled its feathers .	literal
 The wind ruffled the surface of the water .	literal
 The seamstress ruffled the curtain fabric .	literal
 You have ruined my car by pouring sugar in the tank !	literal
 This behavior will ruin your chances of winning the election .	metaphorical
 the rebels had salted the fields with mines and traps .	metaphorical
 She salts her lectures with jokes .	metaphorical
 people used to salt meats on ships .	literal
 I salute your courage !	metaphorical
 a terrible stench saluted our nostrils .	metaphorical
 When the officers show up , the soldiers have to salute .	literal
 the surgeon scanned the X - ray .	literal
 She scanned the newspaper headlines while waiting for the taxi .	metaphorical
 The beams scanned the night sky .	metaphorical
 The heat scorched the countryside .	metaphorical
 The wildfire scorched the forest and several homes .	literal
 The cat scraped at the armchair .	literal
 They scraped a letter into the stone .	literal
 She had scraped together enough money for college .	metaphorical
 The sales clerk quickly seized the money on the counter .	literal
 the invaders seized the land and property of the inhabitants .	literal
 Fear seized the prisoners .	metaphorical
 These books sell like hot cakes .	literal
 The French try to sell us their image as great lovers .	metaphorical
 The brothers sell shoes .	literal
 The bad news shook her hopes .	metaphorical
 Shake the salt out of the salt shaker .	literal
 We had to sharpen our arguments .	metaphorical
 The debate sharpened .	metaphorical
 This drug will sharpen your vision .	metaphorical
 He shed his image as a pushy boss .	metaphorical
 She shed a lot of tears when this happened .	literal
 Our dog sheds every Spring .	literal
 You have shipwrecked my career .	metaphorical
 The vessel was shipwrecked .	literal
 He was showered with praise .	metaphorical
 Meteors showered down over half of Australia .	literal
 He showered her with presents .	metaphorical
 The soldiers sifted through the woods .	metaphorical
 He sifted the information .	metaphorical
 They sifted through the job candidates .	metaphorical
 The nightingale was singing .	literal
 the kettle was singing .	metaphorical
 When does the court of law sit ?	metaphorical
 The White House sits on Pennsylvania Avenue .	metaphorical
 She smashed her car against the guard rail .	literal
 The motorcycle smashed into the guard rail .	literal
 The police smashed the drug ring after they were tipped off .	metaphorical
 smother the meat in gravy .	literal
 the butter cream smothered the cake .	metaphorical
 she snorted her disapproval of the proposed bridegroom .	metaphorical
 The critic snorted contemptuously .	metaphorical
 The addict was snorting cocaine almost every day .	literal
 She sowed sunflower seeds .	literal
 sow suspicion or beliefs .	metaphorical
 sow the ground with sunflower seeds .	literal
 How do you spell this word ?	literal
 I 'm afraid this spells trouble !	metaphorical
 She spelled her husband at the wheel .	metaphorical
 the workers spell every four hours .	metaphorical
 She splashed the water around her .	literal
 The mountain was splashed with snow .	metaphorical
 The wine spotted the tablecloth .	literal
 This dress spots quickly .	literal
 spot the areas that one should clearly identify .	literal
 Water sprayed all over the floor .	literal
 spray water on someone .	literal
 spray the wall with paint .	literal
 The invaders spread their language all over the country .	metaphorical
 spread cheese on a piece of bread .	literal
 the infection spread .	literal
 A big oil spot spread across the water .	literal
 square the wood with a file .	literal
 He squared his shoulders .	metaphorical
 one idea squares with the other one .	metaphorical
 The drunken man staggered into the room .	literal
 The architect decided to stagger the chairs in the lecture hall .	literal
 She was staggered with bills after she tried to rebuild her house following the earthquake .	metaphorical
 Industry will stagnate if we do not stimulate our economy .	metaphorical
 There are marshes that stagnate the waters .	literal
 blood stagnates in the capillaries .	literal
 a man whose name is permanently stamped on our maps .	metaphorical
 Are the letters properly stamped ?	literal
 Thunderbolts can stampede animals .	literal
 Companies will now stampede to release their latest software .	metaphorical
 The ship steamed off into the Pacific .	literal
 her indifference to his amorous advances really steamed the young man .	metaphorical
 just steam the vegetables .	literal
 The Senator steamrollered the bill to defeat .	metaphorical
 The new teacher tends to steamroller .	metaphorical
 steamroller the road .	literal
 steamroller the opposition .	metaphorical
 their manes streamed like stiff black pennants in the wind .	metaphorical
 She was streaming with sweat .	metaphorical
 Tears streamed down her face .	literal
 My nose is all stuffed .	literal
 She stuffed herself at the dinner .	metaphorical
 stuff a pillow with feathers .	literal
 Have you stuffed the turkey yet ?	literal
 suck the poison from the place where the snake bit .	literal
 The current boom in the economy sucked many workers in from abroad .	metaphorical
 The Nazis swallowed the Baltic countries .	metaphorical
 The huge waves swallowed the small boat and it sank shortly thereafter .	metaphorical
 She swallowed the last words of her speech .	metaphorical
 He swallowed his words .	metaphorical
 I swallowed my anger and kept quiet .	metaphorical
 Am I supposed to swallow that story ?	metaphorical
 The music swelled to a crescendo .	metaphorical
 The mother was swelling with importance when she spoke of her son .	metaphorical
 The bellies of the starving children are swelling .	literal
 The water swells the wood .	literal
 my brain is swimming after the bottle of champagne .	metaphorical
 the meat was swimming in a fatty gravy .	metaphorical
 this snake swims through the soil where it lives .	literal
 tack the notice on the board .	literal
 The sailors decided to tack the boat .	literal
 He tacked together some verses .	metaphorical
 Actions talk louder than words .	metaphorical
 The baby talks already .	literal
 Can you taste the garlic ?	literal
 We tasted wines last night .	literal
 The ex - slave tasted freedom shortly before she died .	metaphorical
 The State taxes alcohol heavily .	literal
 You are taxing my patience .	metaphorical
 They taxed him failure to appear in court .	metaphorical
 the bodybuilder 's neck muscles tensed .	literal
 The bus thundered down the road .	metaphorical
 The river thundered below .	metaphorical
 They tied their victim to the chair .	literal
 These big jets are tied to large airports .	metaphorical
 The fishermen tied their flies .	literal
 They topped off their dinner with a cognac .	metaphorical
 A star tops the Christmas Tree .	literal
 The towers were topped with conical roofs .	literal
 The hikers topped the mountain just before noon .	metaphorical
 trace the outline of a figure in the sand .	literal
 The hunters traced the deer into the woods .	literal
 She traced the circumstances of her birth .	metaphorical
 This experience transformed her completely .	metaphorical
 It can transform energy to light .	literal
 tread grapes to make wine .	literal
 male birds tread the females .	literal
 He trenched his military camp .	literal
 letters trenched into the stone .	literal
 trench the fallen soldiers .	literal
 The prisoner tugged at the chains .	literal
 She tugged for years to make a decent living .	metaphorical
 The tugboat tugged the freighter into the harbor .	literal
 The horse finally tugged the cart out of the mud .	literal
 The wrestler twisted his shoulder .	literal
 The cord is all twisted .	literal
 Do n't twist my words .	metaphorical
 The war uprooted many people .	metaphorical
 The vestiges of political democracy were soon uprooted .	metaphorical
 They plan to uproot the vine that has spread all over the garden .	literal
 She vested her vast fortune in her two sons .	literal
 The property vests in the trustees .	literal
 Did you ever visit Paris ? .	literal
 The principal visited his rage on the students .	metaphorical
 Every summer , we visited our relatives in the country for a month .	literal
 They began to volley the tennis ball .	literal
 I heard him volley a string of curses .	metaphorical
 pigs were wallowing in the mud .	literal
 wallow in your success !	metaphorical
 She was wearing yellow that day .	literal
 He always wears a smile .	metaphorical
 wear one 's hair in a certain way .	literal
 The bullets whistled past him .	metaphorical
 She whistled a melody .	literal
 Her optimism whistled away these worries .	metaphorical
 He wrestled all his life with his feeling of inferiority .	metaphorical
 I wrestled with this decision for years .	metaphorical
 The children wrestled in the garden .	literal
 He bowed before the King .	literal
 I can breathe better when the air is clean .	literal
 This rare Bordeaux must be allowed to breathe for at least 2 hours .	literal
 The child colored the drawings .	literal
 My personal feelings color my judgment in this case .	metaphorical
 He and his sons have n't communicated for years .	literal
 Please use a computerized disctionary .	literal
 Her feelings condensed .	metaphorical
 The exercise class drains me of energy .	metaphorical
 The company dumped him after many years of service .	metaphorical
 engraved the trophy cupt with the winner 's .	literal
 The Turks erased the Armenians in 1915 .	metaphorical
 Vesuvius erupts once in a while .	literal
 Islam is fermenting Africa .	metaphorical
 grind lenses for glasses and cameras .	literal
 the theater was jampacked .	metaphorical
 She leaned over the banister .	literal
 after a glass of wine , he lightened up a bit .	metaphorical
 They were locked in embrace .	metaphorical
 He marched into the classroom and announced the exam .	literal
 His heart palpitated .	metaphorical
 He peeped at the woman through the window .	literal
 Goya wanted to portray his mistress , the Duchess of Alba .	literal
 We preserve these archeological findings .	literal
 We sailed the Atlantic .	literal
 She was singing while she was cooking .	literal
 stamp fruit extract the juice .	metaphorical
 We had to swim for 20 minutes to reach the shore .	literal
 She talks a lot of nonsense .	literal
 He transformed into a monster .	metaphorical
 Gun shots volleyed at the attackers .	literal
 She whistled for her maid .	literal
